10
5184, 3888, 000/P1060881-output.JPG, 0, 15914265, 45485, 0.3
1920, 1080, 000/RIMG2746-output.JPG, 0, 1577628, 38993, 2.4
1920, 1080, 000/RIMG2750-output.JPG, 0, 1542482, 419, 0.0
4032, 3024, 000/IMG_5568-output.JPG, 3, 4551020, 2321162, 33.8
5184, 3888, 111/P1060876-output.JPG, 0, 15216078, 514718, 3.3
5184, 3888, 111/P1060914-output.JPG, 1, 11307791, 1157119, 9.3
5184, 3888, 222/P1060802-output.JPG, 0, 14960643, 592754, 3.8
5184, 3888, 222/P1060910-output.JPG, 1, 11324595, 1476836, 11.5
5184, 3888, 333/P1060816-output.JPG, 1, 13769518, 2123912, 13.4
5184, 3888, 333/P1060923-output.JPG, 2, 8822517, 2405533, 21.4
